Horizon_D,Shortlist_Rank,Model,Robust_Score,MAE_Mean,MAPE_Mean_Pct,Directional_Accuracy_Mean_Pct,Folds_Beating_Naive_MAE,Mean_MAE_Improvement_vs_Naive_Pct,Recent_3_Folds_MAE_Mean,Recent_3_Folds_Directional_Accuracy_Mean_Pct
1,1,CatBoost_Return,2.0,12.243363758385259,1.5022275226045358,48.020833333333336,1,-1.9503322497741316,13.291118201566624,48.75
1,2,Huber_Return,3.5,12.95871753186566,1.6009881259920313,48.4375,0,-8.215149753280844,13.413058057312966,46.25
1,3,ExtraTrees_Return,3.75,12.785454730326741,1.5633689691950228,47.708333333333336,0,-6.430990160527209,13.830543022140338,45.833333333333336
1,4,XGBoost_Return,5.25,13.105301894734305,1.595987594043703,46.770833333333336,0,-8.719783477715444,14.308917997787143,45.833333333333336
2,1,CatBoost_Return,2.0,17.60083877740611,2.172765539760144,46.145833333333336,0,-3.0736083031376573,19.199712201034043,44.583333333333336
2,2,ExtraTrees_Return,3.5,18.637495276343667,2.2886613348437983,47.916666666666664,0,-8.800740163602867,20.616235263876224,44.166666666666664
2,3,XGBoost_Return,4.0,18.785003619519756,2.2985788470020605,45.833333333333336,0,-9.911349260938023,20.241316279031647,43.75
2,4,LightGBM_Return,5.5,19.35047230789887,2.363467735388905,48.125,0,-13.377081108439578,21.250050966426272,45.833333333333336
3,1,CatBoost_Return,2.0,22.508195685845592,2.7793285075086533,46.666666666666664,1,-4.528811307304381,25.002416053632256,45.208333333333336
3,2,ExtraTrees_Return,3.25,24.636341436310598,3.007430472762989,45.416666666666664,0,-14.01528538296184,27.95031008466222,41.875
3,3,XGBoost_Return,5.0,25.273903531629685,3.0586323559628172,44.0625,0,-16.770585636880316,28.230134313950135,43.541666666666664
3,4,LightGBM_Return,5.75,25.418629480322725,3.085963076308911,45.9375,0,-17.648111360405526,28.870431156063745,43.333333333333336
7,1,CatBoost_Return,2.0,38.54828749703862,4.710179099673289,39.166666666666664,0,-11.45481654984063,43.8621790936335,38.125
7,2,ExtraTrees_Return,3.0,40.36573953214934,4.886033477346684,45.208333333333336,0,-16.11476419690886,46.64773568605863,42.5
7,3,XGBoost_Return,4.25,41.030140189617306,4.959746831833239,39.0625,0,-17.62980813371688,47.98961524991946,35.208333333333336
7,4,LightGBM_Return,5.0,42.7924405601797,5.179518862608643,41.041666666666664,0,-23.326912786450094,49.818984634325375,36.041666666666664
14,1,CatBoost_Return,2.5,57.22670828944248,6.908739688562499,43.125,0,-12.207304850767363,64.15239156959775,41.458333333333336
14,2,ExtraTrees_Return,2.75,56.5645318117058,6.801532925938589,47.291666666666664,0,-10.33502474944204,64.62101373252085,43.333333333333336
14,3,HistGB_Return,4.0,58.11053871119799,6.9811781121689265,47.1875,1,-12.66662776419929,68.16096398983534,39.583333333333336
14,4,XGBoost_Return,4.75,58.71529067358366,7.091523271282539,44.270833333333336,0,-14.577660682018207,67.29786081215326,38.75
30,1,CatBoost_Return,2.0,78.90602346669962,9.400046778545219,53.229166666666664,2,-8.86653909686595,84.46554621159451,52.916666666666664
30,2,XGBoost_Return,3.25,82.9397756952563,9.910909110145807,53.125,2,-15.984085161504181,87.83400234754174,51.875
30,3,ExtraTrees_Return,3.75,82.2899138407396,9.771515923789487,43.4375,0,-14.817616327042815,86.39124419276624,48.958333333333336
30,4,LightGBM_Return,4.75,86.18353176002199,10.29788547180998,51.25,2,-21.70515932527933,91.0873451545179,49.791666666666664
